co2id,countryid,elementid,itemid,fireyear,co2amount
1,4,7273,6993,1990,0
2,4,7273,6993,1991,0
3,4,7273,6993,1992,0
4,4,7273,6993,1993,0
5,4,7273,6993,1994,0
6,4,7273,6993,1995,0
7,4,7273,6993,1996,0
8,4,7273,6993,1997,0
9,4,7273,6993,1998,0
10,4,7273,6993,1999,0
11,4,7273,6993,2000,0
12,4,7273,6993,2001,0
13,4,7273,6993,2002,0
14,4,7273,6993,2003,0
15,4,7273,6993,2004,0
16,4,7273,6993,2005,0
17,4,7273,6993,2006,0
18,4,7273,6993,2007,0
19,4,7273,6993,2008,0
20,4,7273,6993,2009,0
21,4,7273,6993,2010,0
22,4,7273,6993,2011,0
23,4,7273,6993,2012,0
24,4,7273,6993,2013,0
25,4,7273,6993,2014,0
26,4,7273,6993,2015,0
27,4,7273,6993,2016,0
28,4,7273,6993,2017,0
29,4,7273,6993,2018,0
30,4,7273,6993,2019,0
31,4,7273,6993,2020,0
32,4,7273,6993,2021,0
33,8,7273,6993,1990,0
34,8,7273,6993,1991,0
35,8,7273,6993,1992,0
36,8,7273,6993,1993,0
37,8,7273,6993,1994,0
38,8,7273,6993,1995,0
39,8,7273,6993,1996,0
40,8,7273,6993,1997,0
41,8,7273,6993,1998,0
42,8,7273,6993,1999,0
43,8,7273,6993,2000,0
44,8,7273,6993,2001,0
45,8,7273,6993,2002,0
46,8,7273,6993,2003,0
47,8,7273,6993,2004,0
48,8,7273,6993,2005,0
49,8,7273,6993,2006,0
50,8,7273,6993,2007,0
51,8,7273,6993,2008,0
52,8,7273,6993,2009,0
53,8,7273,6993,2010,0
54,8,7273,6993,2011,0
55,8,7273,6993,2012,0
56,8,7273,6993,2013,0
57,8,7273,6993,2014,0
58,8,7273,6993,2015,0
59,8,7273,6993,2016,0
60,8,7273,6993,2017,0
61,8,7273,6993,2018,0
62,8,7273,6993,2019,0
63,8,7273,6993,2020,0
64,8,7273,6993,2021,0
65,12,7273,6993,1990,0
66,12,7273,6993,1991,0
67,12,7273,6993,1992,0
68,12,7273,6993,1993,0
69,12,7273,6993,1994,0
70,12,7273,6993,1995,0
71,12,7273,6993,1996,0
72,12,7273,6993,1997,0
73,12,7273,6993,1998,0
74,12,7273,6993,1999,0
75,12,7273,6993,2000,0
