forestfireid,countryid,elementid,itemid,fireyear,burntarea
1,4,7246,6796,1990,0
2,4,7246,6796,1991,0
3,4,7246,6796,1992,0
4,4,7246,6796,1993,0
5,4,7246,6796,1994,0
6,4,7246,6796,1995,0
7,4,7246,6796,1996,0
8,4,7246,6796,1997,0
9,4,7246,6796,1998,0
10,4,7246,6796,1999,0
11,4,7246,6796,2000,0
12,4,7246,6796,2001,0
13,4,7246,6796,2002,0
14,4,7246,6796,2003,0
15,4,7246,6796,2004,0
16,4,7246,6796,2005,0
17,4,7246,6796,2006,0
18,4,7246,6796,2007,0
19,4,7246,6796,2008,0
20,4,7246,6796,2009,0
21,4,7246,6796,2010,0
22,4,7246,6796,2011,0
23,4,7246,6796,2012,0
24,4,7246,6796,2013,0
25,4,7246,6796,2014,0
26,4,7246,6796,2015,0
27,4,7246,6796,2016,0
28,4,7246,6796,2017,0
29,4,7246,6796,2018,0
30,4,7246,6796,2019,0
31,4,7246,6796,2020,0
32,4,7246,6796,2021,0
33,4,7246,6797,1990,5.5102
34,4,7246,6797,1991,5.5102
35,4,7246,6797,1992,5.5102
36,4,7246,6797,1993,5.5102
37,4,7246,6797,1994,5.5102
38,4,7246,6797,1995,5.5102
39,4,7246,6797,1996,19.9359
40,4,7246,6797,1997,11.7935
41,4,7246,6797,1998,32.2913
42,4,7246,6797,1999,8.8616
43,4,7246,6797,2000,70.383
44,4,7246,6797,2001,0
45,4,7246,6797,2002,0
46,4,7246,6797,2003,0
47,4,7246,6797,2004,0
48,4,7246,6797,2005,0
49,4,7246,6797,2006,0
50,4,7246,6797,2007,0
51,4,7246,6797,2008,0
52,4,7246,6797,2009,0
53,4,7246,6797,2010,0
54,4,7246,6797,2011,0
55,4,7246,6797,2012,0
56,4,7246,6797,2013,0
57,4,7246,6797,2014,0
58,4,7246,6797,2015,0
59,4,7246,6797,2016,0
60,4,7246,6797,2017,0
61,4,7246,6797,2018,0
62,4,7246,6797,2019,0
63,4,7246,6797,2020,0
64,4,7246,6797,2021,0
65,4,7246,6791,1990,107.2971
66,4,7246,6791,1991,107.2971
67,4,7246,6791,1992,107.2971
68,4,7246,6791,1993,107.2971
69,4,7246,6791,1994,107.2971
70,4,7246,6791,1995,107.2971
71,4,7246,6791,1996,662.5809
72,4,7246,6791,1997,392.1271
73,4,7246,6791,1998,597.3123
74,4,7246,6791,1999,748.3699
75,4,7246,6791,2000,389.334
76,4,7246,6791,2001,0
77,4,7246,6791,2002,0
78,4,7246,6791,2003,0
79,4,7246,6791,2004,0
80,4,7246,6791,2005,0
81,4,7246,6791,2006,0
82,4,7246,6791,2007,0
83,4,7246,6791,2008,0
84,4,7246,6791,2009,0
85,4,7246,6791,2010,0
86,4,7246,6791,2011,0
87,4,7246,6791,2012,0
88,4,7246,6791,2013,0
89,4,7246,6791,2014,0
90,4,7246,6791,2015,0
91,4,7246,6791,2016,0
92,4,7246,6791,2017,0
93,4,7246,6791,2018,0
94,4,7246,6791,2019,0
95,4,7246,6791,2020,0
96,4,7246,6791,2021,0
97,4,7246,6794,1990,14234.6267
98,4,7246,6794,1991,14234.6267
99,4,7246,6794,1992,14234.6267
100,4,7246,6794,1993,14234.6267
101,4,7246,6794,1994,14234.6267
102,4,7246,6794,1995,14234.6267
103,4,7246,6794,1996,5349.2426
104,4,7246,6794,1997,1191.8687
