countrygrouprelationid,countrygroupid,countryid
1,5100,12
2,5100,24
3,5100,204
4,5100,72
5,5100,854
6,5100,108
7,5100,132
8,5100,120
9,5100,140
10,5100,148
11,5100,86
12,5100,174
13,5100,178
14,5100,384
15,5100,180
16,5100,262
17,5100,818
18,5100,226
19,5100,232
20,5100,748
21,5100,231
22,5100,230
23,5100,260
24,5100,266
25,5100,270
26,5100,288
27,5100,324
28,5100,624
29,5100,404
30,5100,426
31,5100,430
32,5100,434
33,5100,450
34,5100,454
35,5100,466
36,5100,478
37,5100,480
38,5100,175
39,5100,504
40,5100,508
41,5100,516
42,5100,562
43,5100,566
44,5100,638
45,5100,646
46,5100,654
47,5100,678
48,5100,686
49,5100,690
50,5100,694
51,5100,706
52,5100,710
53,5100,728
54,5100,729
55,5100,736
56,5100,768
57,5100,788
58,5100,800
59,5100,834
60,5100,875
61,5100,732
62,5100,894
63,5100,716
64,5200,660
65,5200,28
66,5200,32
67,5200,533
68,5200,44
69,5200,52
70,5200,84
71,5200,60
72,5200,68
73,5200,535
74,5200,74
75,5200,76
76,5200,92
77,5200,124
78,5200,29.01
79,5200,136
80,5200,152
81,5200,170
82,5200,188
83,5200,192
84,5200,531
85,5200,212
86,5200,214
87,5200,218
88,5200,222
89,5200,238
90,5200,254
91,5200,304
92,5200,308
93,5200,312
94,5200,320
95,5200,328
96,5200,332
97,5200,340
98,5200,388
99,5200,474
100,5200,484
101,5200,500
102,5200,530
103,5200,558
104,5200,21.01
105,5200,591
106,5200,600
107,5200,604
108,5200,630
109,5200,652
110,5200,659
111,5200,662
112,5200,666
113,5200,670
114,5200,663
115,5200,534
116,5200,283
117,5200,239
118,5200,740
119,5200,780
120,5200,796
121,5200,840
122,5200,850
123,5200,858
124,5200,862
125,5848,16
126,5848,660
127,5848,533
128,5848,36
129,5848,40
130,5848,112
131,5848,56
132,5848,58
133,5848,60
134,5848,92
135,5848,100
136,5848,124
137,5848,136
138,5848,830
139,5848,191
140,5848,196
141,5848,203
142,5848,200
143,5848,208
144,5848,233
145,5848,238
146,5848,234
147,5848,246
148,5848,250
149,5848,254
150,5848,258
151,5848,276
152,5848,292
