temperatureid,countryid,tempyear,elementid,temperatureincrease
1,4,1961,7271,-0.105
2,4,1962,7271,-0.157
3,4,1963,7271,0.852
4,4,1964,7271,-0.743
5,4,1965,7271,-0.211
6,4,1966,7271,0.156
7,4,1967,7271,-0.389
8,4,1968,7271,-0.384
9,4,1969,7271,-0.539
10,4,1970,7271,0.898
11,4,1971,7271,0.652
12,4,1972,7271,-1.089
13,4,1973,7271,0.262
14,4,1974,7271,-0.47
15,4,1975,7271,-0.468
16,4,1976,7271,-0.295
17,4,1977,7271,0.532
18,4,1978,7271,0.105
19,4,1979,7271,0.394
20,4,1980,7271,0.69
21,4,1981,7271,0.583
22,4,1982,7271,-0.237
23,4,1983,7271,0.213
24,4,1984,7271,0.21
25,4,1985,7271,0.361
26,4,1986,7271,-0.048
27,4,1987,7271,0.49
28,4,1988,7271,0.988
29,4,1989,7271,-0.122
30,4,1990,7271,0.847
31,4,1991,7271,-0.058
32,4,1992,7271,-0.214
33,4,1993,7271,0.292
34,4,1994,7271,0.554
35,4,1995,7271,0.474
36,4,1996,7271,-0.016
37,4,1997,7271,0.592
38,4,1998,7271,0.795
39,4,1999,7271,1.301
40,4,2000,7271,1.109
41,4,2001,7271,1.366
42,4,2002,7271,1.384
43,4,2003,7271,0.615
44,4,2004,7271,1.427
45,4,2005,7271,0.491
46,4,2006,7271,1.78
47,4,2007,7271,0.736
48,4,2008,7271,0.804
49,4,2009,7271,0.929
50,4,2010,7271,1.646
51,4,2011,7271,1.446
52,4,2012,7271,0.234
53,4,2013,7271,1.308
54,4,2014,7271,0.457
55,4,2015,7271,1.101
56,4,2016,7271,1.607
57,4,2017,7271,1.568
58,4,2018,7271,1.58
59,4,2019,7271,0.96
60,4,2020,7271,0.544
61,4,2021,7271,1.421
62,4,1961,6078,0.557
63,4,1962,6078,0.557
64,4,1963,6078,0.557
65,4,1964,6078,0.557
66,4,1965,6078,0.557
67,4,1966,6078,0.557
68,4,1967,6078,0.557
69,4,1968,6078,0.557
70,4,1969,6078,0.557
71,4,1970,6078,0.557
72,4,1971,6078,0.557
73,4,1972,6078,0.557
74,4,1973,6078,0.557
75,4,1974,6078,0.557
76,4,1975,6078,0.557
77,4,1976,6078,0.557
78,4,1977,6078,0.557
79,4,1978,6078,0.557
80,4,1979,6078,0.557
81,4,1980,6078,0.557
82,4,1981,6078,0.557
83,4,1982,6078,0.557
84,4,1983,6078,0.557
85,4,1984,6078,0.557
86,4,1985,6078,0.557
87,4,1986,6078,0.557
88,4,1987,6078,0.557
89,4,1988,6078,0.557
90,4,1989,6078,0.557
91,4,1990,6078,0.557
92,4,1991,6078,0.557
93,4,1992,6078,0.557
94,4,1993,6078,0.557
95,4,1994,6078,0.557
96,4,1995,6078,0.557
97,4,1996,6078,0.557
